job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=9623ad626a7dc6fc&fccid=5d1506a5df73a48e&vjs=3,Postdoctoral Appointee - Probabilistic Machine Learning,Argonne National Laboratory,"Lemont, IL 60439",Not available,Full-time,4.3,"Familiar with Information theoretic principles, , models, and ensembling UQ techniques.,The selected candidate will be building on the ongoing research…",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=28c0f041b6734367&fccid=e5b5c289543e7bff&vjs=3,Enterprise Account Executive,SambaNova Systems,"Remote in Chicago, IL",170000,Not available,Not available,"In addition, you have the ability to think strategically about the business, category, and technical challenges, with a skill-set that drives tactical execution…",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=d0616ce569c102a3&fccid=26670feb7e82cfe8&vjs=3,Product Marketing Lead,Lightricks,"Hybrid remote in Chicago, IL",159500,Not available,Not available,"You must be able to conduct meetings early morning (~8AM CST) twice weekly.*.,Lightricks' Marketing Department motivates users into action and leads activities…",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=d985cad1bd02d498&fccid=9e0ee043b361dfa5&vjs=3,Product Manager,VIATechnik,"Hybrid remote in Chicago, IL 60607",135000,Full-time,4.2,"Cirrus Studio creates software platforms and bespoke enterprise software to drive digital transformation within the Architecture, Engineering, and Construction …",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=f26b80867f9b9c02&fccid=09b1715d582ae8f8&vjs=3,"VP, Protein Design",EVOZYNE INC,"Chicago, IL 60614",143000,Full-time,Not available,"Reporting to the COO, the Head of Design will construct and implement novel approaches to model protein structure, develop structural alignment tools, and work…",Generative AI,Chicago
https://www.indeed.com/company/Bodaty/jobs/Marketing-Manager-016d36376866462b?fccid=2f045d22b5a22f72&vjs=3,Marketing Manager - CMO,Bodaty,"Hybrid remote in Naperville, IL 60563",150000,Full-time,Not available,"We are seeking a highly skilled and experienced Marketing Manager with a focus on digital marketing to join our ChatMemoir team.,A Master’s or MBA is preferred.",Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=443668c1725a10e2&fccid=3243257922dae709&vjs=3,Senior Director of Public Relations and Corporate Communications (USA REMOTE),"Turnitin, LLC","Remote in Chicago, IL",147500,Full-time,3.9,You will be responsible for developing and executing comprehensive public relations and corporate communication plans that align with our business objectives…,Generative AI,Chicago
https://www.indeed.com/rc/clk?jk=96989d29004281fa&fccid=4453b2bdbd287ce0&vjs=3,"Sr. Manager, Data Science, Field CTO",Snowflake,"San Francisco Bay Area, CA",225500,Not available,3.5,"Stay current with developments in some of the most recent developments in , such as , ,, large language models, vector databases, responsible , etc.",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=46aa12b5fcd53062&fccid=7ceeabf7dfa027b9&vjs=3,Content Marketing Manager,EvenUp Inc.,"Remote in San Francisco, CA",Not available,Full-time,Not available,"You will establish our brand presence in the legal industry by developing engaging content for our target audience to build awareness, drive customer…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=80ff496520d8ec5b&fccid=e5b5c289543e7bff&vjs=3,"Product Test Technician (Contractor on-site Palo Alto, CA)",SambaNova Systems,"Palo Alto, CA",62400,Full-time,Not available,"Duration: 3-6 months with the possibility of conversion to full-time employment.,Schedule: Flexible 8-hour shifts Monday through Friday between the hours of 8…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=139193d9b274a916&fccid=1aebed2c79e8fbcc&vjs=3,Product Design Lead,Dashworks,"San Francisco, CA",Not available,Full-time,Not available,"Work with some of the best engineers in the world from places like Google, Amazon Alexa, and Microsoft Bing to make an outsized impact toward building an…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=d285e7e0917c119a&fccid=38eca8156471a9d2&vjs=3,Marketing Technology & Operations Analyst,Nextdoor,"San Francisco, CA",119000,Not available,4.2,"Knowledge of , , and the potential applications within the marketing context is also a major plus.,As a Marketing Technology & Operations Analyst, you…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=14da16d76dc0171c&fccid=616fbc02a8ae1717&vjs=3,Sr. Graphic Designer,Sysdig,"Hybrid remote in San Francisco, CA 94105",128500,Full-time,3,"Design plays a vital role in developing the story, narrative and memorable brand experiences for our customers and prospects.,Bachelor's degree or equivalent.",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=188e223eb6e0f854&fccid=92ecbb075afa81b2&vjs=3,Technical Content Writer,Nightfall AI,"San Francisco, CA",Not available,Not available,Not available,"Demonstrated ability to write prolifically and use , AI.,To succeed in this role you will require the ability to thrive in a highly technical and fast…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=a04b59b61059f229&fccid=f98eb70205204fcf&vjs=3,"Senior Staff Data Engineer, AI and MLOps",Samsung Research America,"Mountain View, CA 94043",222075,Not available,3.9,"Keep current with the fast-moving world of ,, from modeling techniques like , , to platform innovations.,Good communication and team-working skills.",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=16a890ec966101c9&fccid=7ceeabf7dfa027b9&vjs=3,Email Marketing Manager,EvenUp Inc.,"Remote in San Francisco, CA",Not available,Full-time,Not available,"They will be responsible for making key investments in software and tooling, data sourcing and quality, scaling of campaigns, and the overall orchestration of…",Generative AI,San Francisco
https://www.indeed.com/company/saigroup/jobs/Vice-President-of-Product-Management-28b89261294014ba?fccid=49ab11d62f29fbde&vjs=3,"VP, Product Innovation",SAIGroup,"Hybrid remote in Palo Alto, CA 94304",250000,Full-time,Not available,This role will work closely with cross-functional teams to drive new incubations from inception to market introduction.,Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=2f2f17e004a65dbb&fccid=7ceeabf7dfa027b9&vjs=3,Engineering Manager,EvenUp Inc.,"Remote in San Francisco, CA",158500,Full-time,Not available,"Provide guidance, career development and mentorship support to your team.,Maintain the culture and discipline of Engineering that is directive in guidance, and…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=a53fd3ebb209d45c&fccid=0555014e7bce64c3&vjs=3,Machine Learning Engineer (Mobile Team),Grammarly,"Hybrid remote in San Francisco, CA 94104",256500,Not available,4.6,"Prototype and implement new mobile Grammarly features that take advantage of LLMs and , , advancements.,Disability and life insurance options.",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=3a91ba01659d60a6&fccid=7ceeabf7dfa027b9&vjs=3,Senior and Intermediate Engineers (Frontend),EvenUp Inc.,"Remote in San Francisco, CA",139000,Full-time,Not available,"In the past year, our engineering and data science team grew to 30 members and we rolled out infrastructure updates, new products, and updates to existing…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=9d7a8bae18032025&fccid=7ceeabf7dfa027b9&vjs=3,Account Executive (3+ years of sales exp),EvenUp Inc.,"Remote in San Francisco, CA",Not available,Full-time,Not available,"Prospect, develop, manage sales pipeline, and close customers onto the EvenUp Platform through inbound and outbound efforts.",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=35903f92776afaa0&fccid=dd616958bd9ddc12&vjs=3,Plugin Developer (OpenFX/After Effects),Arkavian,"Remote in San Francisco, CA",148500,Not available,Not available,"In this role, you will be responsible for implementing and maintaining our plugins in VFX software.,The things that we need you to know (Must have).",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=5c424948265eed0b&fccid=f98eb70205204fcf&vjs=3,Staff Machine Learning Researcher,Samsung Research America,"Mountain View, CA 94043",191050,Not available,3.9,"Conduct advanced research in machine learning, , ,, computer vision, data mining, and natural language understanding.",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=fc01aa0b3d67417f&fccid=7ceeabf7dfa027b9&vjs=3,Revenue Operations Manager,EvenUp Inc.,"Remote in San Francisco, CA",105700,Full-time,Not available,"As a Revenue Operations Manager, you will be responsible for optimizing our revenue-generating processes, aligning sales and marketing strategies, and driving…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=35ade54999029ea4&fccid=f2c9b2ce0e08df2b&vjs=3,Senior IT Engineer,Philo,"Remote in San Francisco, CA 94103",172000,Full-time,Not available,"Account provisioning for onboarding/offboarding of employees.,Procurement of hardware and related digital asset management.",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=1d93c7989c2068f2&fccid=f98eb70205204fcf&vjs=3,"Senior Computational Designer, Parametric Modeling & Design",Samsung Research America,"San Francisco, CA",161225,Not available,3.9,"As a Computational Designer, you will work with diverse talents to develop , design models and algorithms to develop and validate designs by employing…",Generative AI,San Francisco
https://www.indeed.com/rc/clk?jk=4c28fe3fe0a338ee&fccid=7ceeabf7dfa027b9&vjs=3,Growth Marketing Manager,EvenUp Inc.,"Remote in San Francisco, CA",122500,Full-time,Not available,"They will be responsible for making key investments in software and tooling, data sourcing and quality, scaling of campaigns, and the overall orchestration of…",Generative AI,San Francisco
